address,choice.1,choice.2,choice.3,choice.4,choice.5,choice.6,choice.7,choice.8,choice.9,choice.10,choice.11,choice.12,choice.13,choice.14,choice.15,choice.16,choice.17,voting_power,timestamp,author_ipfs_hash,reason
0x2bC12061C8912505978472C21d4a23dB43AF62aA,,,,,,,,,1,,,,,,,,,101,1704214827,bafkreihohk3hvlxiy3tjfwjxycgtkpp34ir5rrnchdtvbxipenykp3m6l4,""
0xE8e182dA4C2514527296B9Ca1115c25058078Fe0,,,,,,,,,,,,,1,,,,,130.885,1704215551,bafkreie5uxfwpep2cmiosuo56qja7cykgffxeidr7rnf5c6bq4alx3bda4,""
0x2dd2036C9Db2ADA2739509AF0047c00C8b9291EF,,3,,2,,1,,,2,1,,,1,,,3,,1000,1704215806,bafkreifnp3t3rqcefnbh5j6m66pb4ea4sbs4wz6fm5ckpyvfmntppbgtdq,""
0x55F5601357f6e0B10a3386914c93916c6C9A368A,24,6,2,2,1,1,1,1,3,,,,,,,,,100,1704216164,bafkreif3gulmjjxafhtuh6k4zb2h2r2fsr3ezqfasbjs2o4dusm745vmka,""
0x884Ff907D5fB8BAe239B64AA8aD18bA3f8196038,,,,,,1,,,1,,,,,,,,,1000,1704217721,bafkreieooag6wajwo6vaveegka2vudpumoqcnf6byurvi42unv45tu22ym,""
0xb150c9bEd10a8C62997d58a81c4e1fA75160643e,10,,,10,,,,,,25,,,,,,,,1000,1704218589,bafkreiaspvep3skg7yww2cblw7p3buebtvpbazknjktrzzw5sodiyqkrlq,""
0x22bAac1E95efC010E35D5eD643BB16c9dB254a11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,135,1704219017,bafkreidlba7ihcymunsoz7avuq4eimak37sexxzptwgzrgg2s66abtqiei,""
0x212647c56BA10ee429a838bc567dFb03A8D054Ba,,,2,2,,,,,5,4,,,,,,,,1000,1704219037,bafkreiadjoqii2tgrr7evn5lic5rdybdtxktc4y3eonwfuai5gznahzpxa,""
0x015122A625b45f68E6D795C0Ab99fC7107e4c3B9,,1,,,,,,,1,1,,,1,,1,,,1000,1704219803,bafkreibb7sdwoa7b2h5fxtay3o3ctakjxsb274yhsk4tq7bd4zc2uc3jfa,""
0x7537Cb0AEe6a3483a7601ebf1084eD4df73166Ab,,,,1,,,,,1,1,,,,,1,,,100,1704220697,bafkreicte7sjc653nsbwvq6l2svanza3weqiqs7l7dhprdgbvgihvm4nka,""
0x3Ae33A504795aEAac835e3f5060F167f2895F3F7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101,1704222635,bafkreieoogzmv3jltovdez4zec3wghetmr4qwfiv4li63qzfpkaouxzgd4,""
0x3df13B9bd79158f0cccDDd0833cF774178e3d2e9,,,,,,,,,,,,1,1,,,6,,202.36008238176817,1704222893,bafkreib2pm6uxmrpzq2w5ylxa63rd2mp4gvsfolfabfri4v3fcz67u3nwe,""
0xbb4D885fD41c807e8eCC2dD9e6295a7F96Adb0EB,,,,,,,,,1,,,,1,,1,,,101,1704224442,bafkreigaahulffps7ttbmt4wul36tuj3gklexarvkbxlqzv5btsutjqkqe,""
0xFB40932271Fc9Db9DbF048E80697E2Da4AA57250,,,,,,,,,,100,,,,,,,,1000,1704224881,bafkreiakcokkpjwiki7jyddoda7qmt3qwtbzdrez2zujeqcfkeyge2d7cm,""
0xE36BD8C15a83b89E2E49806d7312846069755C63,,,,,,,,,,100,,,,,,,,1000,1704226043,bafkreib6re4r4op6tj24bnsks2uaxjsfytpf5gppp4gdioiv3lsqkbadqa,""
0x073a360C372FD51Bd6E56B4a4d73790fDAec4641,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,101,1704226596,bafkreictvcw7zoxjspe55qsb4bhdayzljpxaogkaml6qpqifbmoqr4od4i,""
0xCDdF772F8A3295C89DC37510E16e360ee2d29789,,1,,,,,,,,1,,1,1,,,,,109.841,1704227092,bafkreicqg2jvwauosmaprwnsidsm4ss7lrrhbxyboef65wmleaah6vk4py,""
0xC2812325caD4C4C782CbbC1164e9373371D31dB2,1,1,,,,,,,,1,,,1,,,,,200,1704227295,bafkreihtaivhshbokrh3uyioamagd3uu3oh6sy5fth5epawxxoiome6a6a,""
0x653d973b36137A5cB2fc304996E0af1F1afCC628,1,,,,,1,,,1,,,,,,,,,2531.184582909155,1704230165,bafkreig7a7narahlrdcwyvkqzmscehs7scoxeykxkcq3y5osbdbpz5pyay,""
0xE8b6b71f3b1E6d2ad406D2cf36B1f2C567342dF1,,,,,,1,,,,,,,,,,,,103.68651813,1704230235,bafkreiav7zg67y5in3he6xdtb67lnxh2i4tvlhqdk2pqfuilojmxoaaid4,""
0x8f21bD39FcAeA3A729D46339A383081ecB7E84E0,,,,,,1,,,,,,,,,,,,64322.83403653502,1704232226,bafkreifjzroxzjwijnrop25ep4gosiy67m3fzkfjvxvhfhwdwn5buj3xja,""
0x686A484bc2E2bE79f358c7055e8539A69413A3Ed,5,,,,,,,4,,3,,1,2,,,,,101,1704232383,bafkreid5uh6vz6ji6r6org5aky67v4kiinpby5blcu45iloyvsxspogxym,""
0x9Ff548c1B3eA3dd123AFE39C759dDA548009B6C8,,,,,,100,,,,,,,,,,,,92238.09756710463,1704232537,bafkreibh6egke5sy47p4jnyqsaal4gqy6n6yhci32kec4vjq4hrc5jync4,""
0x4Dcb2BCA3450B427F3d1b424C885259D05363080,4,,,,,,5,,,3,2,2,3,4,,,,101,1704232579,bafkreiaatiw6lpjc6ie4qmao3asam2xdrv5bbqc2loj3wrc6jagfs65djy,""
0x7Dd8030F9d33Af4a40ee074f990892E825132e61,2,,,,,,,6,,4,2,4,3,2,,1,1,101,1704233129,bafkreigjwlcyc5tarei45dyu2eaqk4v55yd6kgcpwrpxtdu6qetct6muk4,""
0x4103CFcb300599dFcB31dBc95d919592619B4EAc,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,112,1704234093,bafkreig5aw2g2wro6uvhag4gybqdvowmnivniy7btaoeiznjhjobhbzbcy,""
0xaA95cA26c92b0634dF7a1A1504f579F13bFB7f9d,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,105,1704234834,bafkreiag34hjwlxtmbuqwrmf4hykvo2qkphgqo6a7sygueaxza3xbkkh4a,""
0x1d44404C1C53991Ec33095225da173d544Cd4Af3,,,,,,,1,,,1,1,1,1,,1,,,100,1704244622,bafkreihgf2hoy57dexycbepenltwg7gxbbnvpcuoaugu2bqkd7hlytyv5y,""
0xBAab83De8DbA764bF02a530cad33555bD23eba22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1704245497,bafkreig3mt3beycz7cflnubwosskng5y6pbvq6i7ye7mdqcapmxdtzxpcy,""
0x8558f502887a9a52c4B265d72327E0E529Ff790d,2,,,,,,2,,2,,,,,,2,,,207974.13928498205,1704246076,bafkreiesjm4yz7bv62u5rzyz7izoeylv2d5ri7ggjdlmlciwtopfke4x6q,""
0xCE8D52c38d74B77a0aA361c48Fdce6b220A3370e,,,,,,1,,,,,,,,,,,,1000,1704246952,bafkreihvqjsquhppgswvqbqimx4x4ttlcfkb6ecioppwotpz2l2pjt3nbi,"I have been part of FtC events and they do a really good job"
0x42EeD31a8BB26099364b301ae087ACFB037Ba864,,,,,,1,,,,,,,,,,,,100,1704252422,bafkreidgb5bnynrmpulpnbdibtevezyemus32fqesvtpnp3hkz4n6vp62a,""
0xd61FA7454b484cbAA69a7f7c04b3610FbcF2514B,1,1,1,,,1,,1,2,2,,1,1,1,1,,,250.738,1704257194,bafkreia67ganrekj4lseadejvgibyfstzj66fd7foemnzaedfnza5eboue,""
0x02d9c84a495986b8b3C3347Ad16849DCB1b9793e,15,6,15,15,6,30,15,6,25,20,6,6,15,6,15,6,6,261.8,1704258399,bafkreidu75apzdkx2u7kisabt4osd2cfizwkyzpnoplayemw3lhyna6cgu,""
0x6b759Bf480407D19c8903c16023c706868c29a2A,1,1,,,,,,,,,,,,,,,,500,1704263983,bafkreignci2sjelualaavxls5erpzu4yp7amcnlsmiqthfe74haluqvx7i,""
0x5AC583Feb2b1f288C0A51d6Cdca2e8c814BFE93B,20,13,,,,,9,,8,,,,,,8,,,2000,1704267536,bafkreif3hlzoeh5epjtz7jtypupw6x6gy6zzt2jtuzzergmeruts5s6exa,""
0xDc9C5e34959eC3643AF1e1D34A83D6b251AAb1eF,,,,,,1,,,1,1,,,,,,,,108.5,1704268057,bafkreihk2zem2wb47inla4yrc2oectq4wkuw6e6frkqwd7acohjpxcwbv4,""
0x40DE3299Bd8a10D8Ac3f32C1A55DE40640cF9B75,,,,,,1,,,1,1,,,,,,,,107.83966650182309,1704268219,bafkreiftk3nnd74jllb5bqvftrswjfrad5mg3jq3ysnzbu7lifesbd4wfu,""
0xf5AB6B4a8d578807491ef59cE855982990932617,1,,,,,,,,,,,,,,,,,102,1704268317,bafkreihvbgbdmlpchqno5mozvyop56sjv37kqxcxrdxpymr7trh3gihgme,""
0xCBc924183Bc32D02746Fa8D38843B5Ce08662eB4,,,,,,1,,,1,1,,,,,,,,104,1704268362,bafkreibcp7ja5b4p3kdvjnygzoqg72emvufps2jmsdegqfwuigpi6vont4,""
0x8e30Dc2AEF957B1F7dd67B1b7bC651fFe7E17a06,,,,,,,,,,1,,,,,,,,101,1704268395,bafkreiayw2p7v6dlzyyw534jpcqq5r6x6zn5ehk2x627afkahogjeecxkm,""
0x10a84b835C5df26f2A380B3E00bCC84A66cD2d34,80000000000000,,,,,,,,,,,,,,,,,1000,1704268424,bafkreicbto4wb3dvc4ip2y3grzdbuqhdjbhd7ed5hko3bcammucuzsrm3a,""
0xC33F87697EF41e0E95e7a55d1ec8180F04088578,,,,,,1,,,1,1,,,,,,,,108,1704268433,bafkreifnhi6rufwjc722ynoja6haeccopo7kvegxe3ufrhbmvgrkpar2ga,""
0xdd0206010CA82fF22303b58863b3a6f3006C86C4,1,,,,,,,,,1,,,1,,,,1,1144.6422,1704269478,QmVeETmMbQzJCvMArt8C556DodPE99eLPPQPCP1Em38Eip,""
0xDf06A761D286C0ae835173236E1f12f1379E4977,,,,,,,,1,1,1,,1,,,,,1,1000,1704272400,bafkreih5izzizjbf275hkzasairaycllriq5jtqip6xvqtxnapegqseofq,""
0x38f80f8f76B1C44B2beeFB63bb561F570fb6ddB6,3,2,,,,,3,,1,,,,,,1,,,1000,1704275452,bafkreifa5vttuhnihatytkewdxrra2fd74yajqxwrp4ims66slbm6v563e,""
0x7bdae9AAbE238188c4882D48a3aEE21288A38eD0,1,,,,,,,,,,,,,,,,,125.52,1704277677,bafkreihugr6rjurdpk6anuimau3m2ln6jw2zky6wxkn757bvpqm37ijq44,""
0x6D97d65aDfF6771b31671443a6b9512104312d3D,1,1,,,,1,1,,1,,,,,,1,,,1000,1704277985,bafkreigi3winxjwszj5dgwjqtzho6flsybuoncf5wri24tqeuzevh6xau4,""
0xAE2C7AB762317DB453317b70f1f40145755fAfb7,,,,,,,,,,,,,,,,,1,126.82,1704278685,bafkreibf7zxrwig2gumscwxnerxgbtypcicbtvyysr4fxb4vl3er7l6zta,""
0x90C32e6B29794Fd7f5BbA2BBEE74e924078B3f9b,,,,1,,1,,,,,,1,,,,,1,1000,1704282111,bafkreidkwo6po7xv62qvtsyyda4kilj4x57m5urjaldjbuaxgpj3pfy3ya,""
0xCd0D4CDb238Eec15Fcf4ff9d13d5a59051E507D7,2,1,3,1,1,3,1,1,2,5,1,1,1,1,3,1,1,17000,1704288894,bafkreianmdrez3qxd7gvvoqjpqfh24k6d7bk7zn2d3pypri33mjuidkone,""
0x85c7D244c6057D42C770aD85aE198Fc5F47957fC,1,1,2,,,3,,,,2,,1,,,2,,,4277.355401178872,1704289161,bafkreibffllqvgf7jznmb3lfqa2dvgmln2upim4cjumfxvmq42lopremdm,""
0x76B4b27B47f211448964eD2cf92F731412602700,2,1,2,1,1,1,1,1,2,8,2,1,1,1,1,1,1,1039.086401508954,1704289221,bafkreify5rfpyoacgnjrckhwvl4arpxdgrztfy2reqqf45wfjq4m6y2a6m,""
0x8341c4106523b49fc247f84e412Bb2AF5597038f,1,,,,,,1,,1,1,,,,,1,,,1062.8121428688498,1704290084,bafkreie3lum5vn6gu46zh7rg56xeohjmzha6relnrbma2oizdwy4yqzyhq,""
0x87704a8CecbbF36f3D2f785Ef953eD9aFFc82b65,,,,,,,1,,,1,1,,,,,,,1001,1704290146,bafkreifin4w3j6tc6whgdm5xh4mzdtqj72eggkemo5clxhqvktxv2jiwdy,""
